timestamp,vibration,rpm
0.0000,0.010,1798
0.0001,0.016,1799
0.0002,0.021,1799
0.0003,0.029,1800
0.0004,0.037,1800
0.0005,0.044,1800
0.0006,0.053,1801
0.0007,0.061,1801
0.0008,0.071,1801
0.0009,0.084,1802
0.0010,0.103,1802
0.0011,0.127,1802
0.0012,0.159,1803
0.0013,0.197,1803
0.0014,0.241,1804
0.0015,0.289,1804
0.0016,0.333,1804
0.0017,0.360,1805
0.0018,0.348,1805
0.0019,0.301,1805
0.0020,0.229,1804
0.0021,0.149,1804
0.0022,0.074,1803
0.0023,0.017,1803
0.0024,-0.021,1802
0.0025,-0.048,1802
0.0026,-0.075,1801
0.0027,-0.114,1801
0.0028,-0.169,1800
0.0029,-0.238,1800
0.0030,-0.306,1799
0.0031,-0.351,1799
0.0032,-0.354,1798
0.0033,-0.307,1798
0.0034,-0.225,1798
0.0035,-0.136,1798
0.0036,-0.061,1797
0.0037,-0.006,1797
0.0038,0.035,1798
0.0039,0.074,1798
